№	Code	Browser	CLDR Short Name
1360	U+1F91C U+1F3FC	🤜🏼	right-facing fist: medium-light skin tone
1361	U+1F91C U+1F3FD	🤜🏽	right-facing fist: medium skin tone
1362	U+1F91C U+1F3FE	🤜🏾	right-facing fist: medium-dark skin tone
1363	U+1F91C U+1F3FF	🤜🏿	right-facing fist: dark skin tone
1364	U+1F91A	🤚	raised back of hand
1365	U+1F91A U+1F3FB	🤚🏻	raised back of hand: light skin tone
1366	U+1F91A U+1F3FC	🤚🏼	raised back of hand: medium-light skin tone
1367	U+1F91A U+1F3FD	🤚🏽	raised back of hand: medium skin tone
1368	U+1F91A U+1F3FE	🤚🏾	raised back of hand: medium-dark skin tone
1369	U+1F91A U+1F3FF	🤚🏿	raised back of hand: dark skin tone
1370	U+1F44B	👋	waving hand
1371	U+1F44B U+1F3FB	👋🏻	waving hand: light skin tone
1372	U+1F44B U+1F3FC	👋🏼	waving hand: medium-light skin tone
1373	U+1F44B U+1F3FD	👋🏽	waving hand: medium skin tone
1374	U+1F44B U+1F3FE	👋🏾	waving hand: medium-dark skin tone
1375	U+1F44B U+1F3FF	👋🏿	waving hand: dark skin tone
1382	U+270D	✍	writing hand
1383	U+270D U+1F3FB	✍🏻	writing hand: light skin tone
1384	U+270D U+1F3FC	✍🏼	writing hand: medium-light skin tone
1385	U+270D U+1F3FD	✍🏽	writing hand: medium skin tone
1386	U+270D U+1F3FE	✍🏾	writing hand: medium-dark skin tone
1387	U+270D U+1F3FF	✍🏿	writing hand: dark skin tone
1388	U+1F44F	👏	clapping hands
1389	U+1F44F U+1F3FB	👏🏻	clapping hands: light skin tone
1390	U+1F44F U+1F3FC	👏🏼	clapping hands: medium-light skin tone
1391	U+1F44F U+1F3FD	👏🏽	clapping hands: medium skin tone
1392	U+1F44F U+1F3FE	👏🏾	clapping hands: medium-dark skin tone
1393	U+1F44F U+1F3FF	👏🏿	clapping hands: dark skin tone
1394	U+1F450	👐	open hands
1395	U+1F450 U+1F3FB	👐🏻	open hands: light skin tone
1396	U+1F450 U+1F3FC	👐🏼	open hands: medium-light skin tone
1397	U+1F450 U+1F3FD	👐🏽	open hands: medium skin tone
1398	U+1F450 U+1F3FE	👐🏾	open hands: medium-dark skin tone
1399	U+1F450 U+1F3FF	👐🏿	open hands: dark skin tone
1400	U+1F64C	🙌	raising hands
1401	U+1F64C U+1F3FB	🙌🏻	raising hands: light skin tone
1402	U+1F64C U+1F3FC	🙌🏼	raising hands: medium-light skin tone
1403	U+1F64C U+1F3FD	🙌🏽	raising hands: medium skin tone
1404	U+1F64C U+1F3FE	🙌🏾	raising hands: medium-dark skin tone
1405	U+1F64C U+1F3FF	🙌🏿	raising hands: dark skin tone
1412	U+1F64F	🙏	folded hands
1413	U+1F64F U+1F3FB	🙏🏻	folded hands: light skin tone
1414	U+1F64F U+1F3FC	🙏🏼	folded hands: medium-light skin tone
1415	U+1F64F U+1F3FD	🙏🏽	folded hands: medium skin tone
1416	U+1F64F U+1F3FE	🙏🏾	folded hands: medium-dark skin tone
1417	U+1F64F U+1F3FF	🙏🏿	folded hands: dark skin tone
1418	U+1F91D	🤝	handshake
1419	U+1F485	💅	nail polish
1420	U+1F485 U+1F3FB	💅🏻	nail polish: light skin tone
1421	U+1F485 U+1F3FC	💅🏼	nail polish: medium-light skin tone
1422	U+1F485 U+1F3FD	💅🏽	nail polish: medium skin tone
1423	U+1F485 U+1F3FE	💅🏾	nail polish: medium-dark skin tone
1424	U+1F485 U+1F3FF	💅🏿	nail polish: dark skin tone
1425	U+1F442	👂	ear
1426	U+1F442 U+1F3FB	👂🏻	ear: light skin tone
1427	U+1F442 U+1F3FC	👂🏼	ear: medium-light skin tone
1428	U+1F442 U+1F3FD	👂🏽	ear: medium skin tone
1429	U+1F442 U+1F3FE	👂🏾	ear: medium-dark skin tone
1430	U+1F442 U+1F3FF	👂🏿	ear: dark skin tone
1431	U+1F443	👃	nose
1432	U+1F443 U+1F3FB	👃🏻	nose: light skin tone
1433	U+1F443 U+1F3FC	👃🏼	nose: medium-light skin tone
1434	U+1F443 U+1F3FD	👃🏽	nose: medium skin tone
1435	U+1F443 U+1F3FE	👃🏾	nose: medium-dark skin tone
1436	U+1F443 U+1F3FF	👃🏿	nose: dark skin tone
1437	U+1F463	👣	footprints
1438	U+1F440	👀	eyes
1439	U+1F441	👁	eye
1440	U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F	👁️‍🗨️	eye in speech bubble
1442	U+1F445	👅	tongue
1443	U+1F444	👄	mouth
